0,1,2,3,4,5,6,7,8,9,10,11,Total
62.25,108.86700000000002,118.38300000000001,84.94999999999999,118.10100000000003,109.38399999999999,117.2,110.917,86.583,47.333,23.883,20.549999999999997,1008.4010000000001
"[0, 1, 37, 21, 44, 0]","[0, 46, 19, 25, 9, 47, 24, 0]","[0, 41, 5, 0]","[0, 22, 29, 12, 38, 0]","[0, 20, 42, 10, 23, 43, 6, 2, 33, 18, 11, 0]","[0, 4, 16, 45, 34, 30, 0]","[0, 40, 48, 8, 15, 31, 32, 0]","[0, 50, 14, 35, 39, 26, 3, 49, 28, 36, 0]","[0, 7, 0]","[0, 27, 0]","[0, 13, 17, 0]","[0, 51, 0]",
