0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
83.833,156.535,34.784,149.234,109.967,108.483,109.083,150.666,83.434,99.3,85.584,69.166,54.083,52.183,1346.335
,,,,,,,,,,,,,,
"[0, 49, 28, 53, 45, 15, 0]","[0, 6, 40, 33, 62, 47, 61, 27, 0]","[0, 17, 0]","[0, 12, 20, 5, 13, 0]","[0, 34, 42, 44, 50, 0]","[0, 55, 0]","[0, 22, 59, 30, 3, 18, 0]","[0, 21, 8, 63, 0]","[0, 57, 31, 67, 66, 26, 19, 0]","[0, 14, 64, 54, 32, 0]","[0, 4, 29, 58, 52, 0]","[0, 51, 39, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
67.45,160.101,34.784,128.65,106.617,108.483,83.95,149.85,77.95,99.233,79.766,68.35,53.233,52.833,1271.25
,,,,,,,,,,,,,,
"[0, 53, 49, 15, 45, 28, 0]","[0, 6, 27, 40, 47, 61, 33, 62, 0]","[0, 17, 0]","[0, 5, 20, 12, 13, 0]","[0, 44, 42, 34, 50, 0]","[0, 55, 0]","[0, 3, 59, 30, 22, 18, 0]","[0, 8, 63, 21, 0]","[0, 26, 31, 67, 57, 19, 66, 0]","[0, 54, 32, 64, 14, 0]","[0, 58, 4, 52, 29, 0]","[0, 39, 51, 0]","[0, 37, 16, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
84.233,136.233,34.784,121.999,135.716,108.483,103.849,141.384,70.217,100.1,85.584,69.166,56.466,52.833,1301.047
,,,,,,,,,,,,,,
"[0, 49, 28, 53, 15, 45, 0]","[0, 62, 33, 61, 6, 47, 40, 27, 0]","[0, 17, 0]","[0, 5, 13, 20, 12, 0]","[0, 34, 42, 50, 44, 0]","[0, 55, 0]","[0, 3, 22, 18, 30, 59, 0]","[0, 8, 21, 63, 0]","[0, 57, 67, 19, 66, 26, 31, 0]","[0, 54, 14, 64, 32, 0]","[0, 4, 29, 58, 52, 0]","[0, 51, 39, 0]","[0, 16, 9, 37, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
84.233,162.918,34.784,151.934,136.599,108.483,100.099,141.384,83.85,92.633,84.616,68.35,57.317,52.183,1359.383
,,,,,,,,,,,,,,
"[0, 53, 28, 49, 15, 45, 0]","[0, 61, 27, 33, 47, 40, 62, 6, 0]","[0, 17, 0]","[0, 12, 5, 20, 13, 0]","[0, 44, 34, 42, 50, 0]","[0, 55, 0]","[0, 18, 22, 3, 30, 59, 0]","[0, 8, 21, 63, 0]","[0, 66, 31, 26, 67, 19, 57, 0]","[0, 64, 14, 54, 32, 0]","[0, 29, 4, 52, 58, 0]","[0, 39, 51, 0]","[0, 9, 37, 16, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
83.666,171.484,34.784,130.7,104.383,108.483,93.2,138.516,82.334,88.234,90.634,68.35,54.083,52.833,1301.684
,,,,,,,,,,,,,,
"[0, 15, 49, 45, 28, 53, 0]","[0, 40, 62, 27, 47, 33, 61, 6, 0]","[0, 17, 0]","[0, 20, 12, 13, 5, 0]","[0, 34, 50, 42, 44, 0]","[0, 55, 0]","[0, 22, 30, 3, 59, 18, 0]","[0, 63, 21, 8, 0]","[0, 26, 67, 57, 19, 66, 31, 0]","[0, 64, 14, 32, 54, 0]","[0, 29, 4, 58, 52, 0]","[0, 39, 51, 0]","[0, 9, 16, 37, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
72.767,194.25,34.784,151.934,104.667,108.483,92.634,150.666,77.45,92.633,74.932,68.35,53.233,52.183,1328.966
,,,,,,,,,,,,,,
"[0, 15, 53, 49, 28, 45, 0]","[0, 40, 27, 47, 62, 6, 33, 61, 0]","[0, 17, 0]","[0, 12, 5, 20, 13, 0]","[0, 42, 44, 50, 34, 0]","[0, 55, 0]","[0, 18, 3, 59, 30, 22, 0]","[0, 21, 8, 63, 0]","[0, 31, 57, 67, 26, 19, 66, 0]","[0, 64, 14, 54, 32, 0]","[0, 4, 52, 29, 58, 0]","[0, 39, 51, 0]","[0, 37, 16, 9, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
73.534,152.934,34.784,151.833,110.151,108.483,111.2,138.516,80.733,85.867,86.318,68.35,53.233,52.833,1308.769
,,,,,,,,,,,,,,
"[0, 45, 53, 49, 28, 15, 0]","[0, 47, 27, 33, 40, 61, 6, 62, 0]","[0, 17, 0]","[0, 20, 13, 5, 12, 0]","[0, 50, 44, 42, 34, 0]","[0, 55, 0]","[0, 30, 3, 22, 59, 18, 0]","[0, 63, 21, 8, 0]","[0, 67, 66, 31, 19, 57, 26, 0]","[0, 64, 54, 32, 14, 0]","[0, 58, 52, 4, 29, 0]","[0, 39, 51, 0]","[0, 37, 16, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
86.916,171.201,34.784,122.75,110.151,108.483,117.467,138.516,69.933,92.084,87.25,68.35,58.384,52.833,1319.102
,,,,,,,,,,,,,,
"[0, 45, 53, 15, 28, 49, 0]","[0, 27, 6, 40, 33, 47, 62, 61, 0]","[0, 17, 0]","[0, 5, 12, 20, 13, 0]","[0, 50, 44, 42, 34, 0]","[0, 55, 0]","[0, 30, 22, 3, 18, 59, 0]","[0, 63, 21, 8, 0]","[0, 19, 66, 31, 57, 26, 67, 0]","[0, 64, 32, 54, 14, 0]","[0, 52, 58, 29, 4, 0]","[0, 39, 51, 0]","[0, 16, 37, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
91.466,172.067,34.784,128.65,109.283,108.483,90.782,138.516,94.6,85.867,74.932,69.166,56.466,52.833,1307.895
,,,,,,,,,,,,,,
"[0, 45, 49, 15, 53, 28, 0]","[0, 6, 47, 33, 61, 62, 27, 40, 0]","[0, 17, 0]","[0, 5, 20, 12, 13, 0]","[0, 34, 44, 42, 50, 0]","[0, 55, 0]","[0, 59, 3, 22, 18, 30, 0]","[0, 63, 21, 8, 0]","[0, 19, 57, 67, 26, 66, 31, 0]","[0, 64, 54, 32, 14, 0]","[0, 4, 52, 29, 58, 0]","[0, 51, 39, 0]","[0, 16, 9, 37, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
84.083,142.45,34.784,126.084,132.2,108.483,108.466,141.384,88.601,87.351,86.318,68.35,54.883,52.183,1315.62
,,,,,,,,,,,,,,
"[0, 28, 49, 15, 45, 53, 0]","[0, 27, 33, 40, 6, 61, 62, 47, 0]","[0, 17, 0]","[0, 12, 13, 20, 5, 0]","[0, 42, 34, 50, 44, 0]","[0, 55, 0]","[0, 3, 22, 59, 30, 18, 0]","[0, 8, 21, 63, 0]","[0, 67, 31, 66, 26, 57, 19, 0]","[0, 32, 14, 54, 64, 0]","[0, 58, 52, 4, 29, 0]","[0, 39, 51, 0]","[0, 37, 9, 16, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
71.184,156.334,34.784,123.784,109.283,108.483,108.466,150.117,71.916,100.1,79.766,69.166,54.883,52.183,1290.449
,,,,,,,,,,,,,,
"[0, 15, 45, 53, 49, 28, 0]","[0, 27, 47, 61, 40, 33, 62, 6, 0]","[0, 17, 0]","[0, 13, 12, 20, 5, 0]","[0, 34, 44, 42, 50, 0]","[0, 55, 0]","[0, 3, 22, 59, 30, 18, 0]","[0, 63, 8, 21, 0]","[0, 31, 26, 66, 19, 67, 57, 0]","[0, 32, 64, 14, 54, 0]","[0, 58, 4, 52, 29, 0]","[0, 51, 39, 0]","[0, 37, 9, 16, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
69.15,173.517,34.784,149.216,108.8,108.483,106.082,150.117,82.317,99.984,85.85,69.166,54.083,52.833,1344.382
,,,,,,,,,,,,,,
"[0, 28, 45, 15, 53, 49, 0]","[0, 47, 61, 62, 27, 40, 33, 6, 0]","[0, 17, 0]","[0, 13, 20, 5, 12, 0]","[0, 50, 42, 44, 34, 0]","[0, 55, 0]","[0, 59, 18, 22, 30, 3, 0]","[0, 63, 8, 21, 0]","[0, 19, 26, 66, 67, 31, 57, 0]","[0, 14, 54, 64, 32, 0]","[0, 4, 58, 52, 29, 0]","[0, 51, 39, 0]","[0, 9, 16, 37, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
71.25,180.068,34.784,150.834,134.55,108.483,109.033,150.117,68.45,99.984,79.75,68.35,54.883,52.833,1363.369
,,,,,,,,,,,,,,
"[0, 45, 28, 15, 49, 53, 0]","[0, 62, 61, 27, 47, 33, 6, 40, 0]","[0, 17, 0]","[0, 20, 5, 13, 12, 0]","[0, 50, 44, 34, 42, 0]","[0, 55, 0]","[0, 22, 3, 30, 59, 18, 0]","[0, 63, 8, 21, 0]","[0, 31, 67, 66, 19, 57, 26, 0]","[0, 14, 54, 64, 32, 0]","[0, 4, 58, 29, 52, 0]","[0, 39, 51, 0]","[0, 37, 9, 16, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
